Horodateur,Nom de la Structure,Thématique de travail,Adresse,Latitude,Longitude,Description de la structure,Contact,Site internet,Photos,Departement,Implication,Lien avec Traces,,
,Cinéma Le Méliès,Equipements culturels,Allée Henri Frenay 38000 Grenoble  ,45.1828589,5.7246757,,,http://www.laligue38.org/programme,,Isère,,,,
,Cinéma le Rio,Equipements culturels,178 Rue sous les Vignes 63100 Clermont-Ferrand  ,45.8035831,3.10877,,,http://www.cinemalerio.com/,,Auvergne,,,,
,Cinéma le Zola,Equipements culturels,117 Cours Emile Zola 69100 Villeurbanne  ,45.770568,4.874349,,,https://www.lezola.com/,,Rhône,,,,
,Cinéma RegAin,Equipements culturels,3 Montée Chantecler 13011 Marseille  ,43.2832008,5.490550799999999,,,http://www.cinema-leteil.fr/,,Ardèche,,,,
,Cinéma(s) Le(s) Méliè(s),Equipements culturels,10 Place Jean Jaurès 42000 SAint-Étienne  ,45.4417554,4.3875812,,,http://www.lemelies.com/,,Loire,,,,
,Cinémathèque de SAint-Etienne,Equipements culturels,20 Rue Jo Gouttebarge 42000 SAint-Étienne  ,45.4362269,4.381762,,,https://cinematheque.sAint-etienne.fr/,,Loire,,,,
,Cinétoile,Equipements culturels,1 Route d'Augel 42380 SAint-Bonnet-le-Château  ,45.4213791,4.0643095,,,http://www.cines-haut-forez.fr/contact7.php,,Loire,,,,
,CMTRA,Patrimoine & Mémoire,46 Cours Docteur Jean Damidot 69100 Villeurbanne  ,45.7616918,4.8859618,,,,,Rhône,,,,
,Collectif K-LI-P,Artistes,12 Avenue Maréchal Randon 38000 Grenoble  ,45.1984432,5.7380394,,,https://compagnieklip.wixsite.com/k-li-p,,Isère,,,,
,CPA ( Centre du Patrimoine Arménien),Patrimoine & Mémoire,14 Rue Louis Gallet 26000 Valence  ,44.9315125,4.8936753,,,,,Drome,,,,
,Direction des musées départementaux de l'Ain,Collectivités Territoriales,Rue General DelestrAint 01000 Bourg-en-Bresse  ,46.197641,5.219519,,,,,Ain,,,,
,Dôme Théâtre,Equipements culturels,Pl de l'Europe 73200 Albertville  ,45.6761834,6.392432299999999,,,http://www.dometheatre.com,,Savoie,,,,
,Ecarts d'Identité,Médias,5 Place SAinte Claire 38000 Grenoble  ,45.1908265,5.731296899999999,,,,,Isère,,,,
,École de l'oralité,Education,15 Rue Henri Gonnard 42000 SAint-Étienne  ,45.4345047,4.3864687,,,http://www.ecoledeloralite.org/,,Loire,,,,
,Entre-Autres,Education,11 Boulevard de Verdun 01300 Belley  ,45.760918,5.686596,,,http://www.entre-autres.org/,,Ain,,,,
,"Espace Aragon
Cinéma Aragon",Equipements culturels,19 bis Boulevard Jules Ferry 38190 Villard-Bonnot  ,45.238018,5.888927900000001,,,https://www.espace-aragon.fr/,,Ain,,,,
,Espace Pandora,Equipements culturels,8 Place de la Paix 69200 Vénissieux  ,45.698783,4.8844034,,,https://espacepandora.org/,,Rhône,,,,
,"Ethnopôle ""Migrations Frontières Mémoires""",Patrimoine & Mémoire,14 Rue Louis Gallet 26000 Valence  ,44.9315125,4.8936753,,,https://www.le-cpa.com/le-cpa/ethnopole,,Drome,,,,
,Garage et librairie des Bauges,Equipements culturels,104 R de la Republique 73200 Albertville  ,45.6752845,6.388577,,,https://www.librairiedesbauges.fr/,,Savoie,,,,
,Grand Ensemble,Equipements culturels,39 Rue Georges Courteline 69100 Villeurbanne  ,45.779221,4.878559,,,http://www.grandensemble.fr/,,,,,,
,Histoire de Dire,Education,Rue Jean Louis Soulavie 07110 Largentière  ,44.5423509,4.292816,,,https://histoirededire.fr/,,Ardèche,,,,
,Hôtel Europa et Golem Théâtre,Artistes,Rue des Alpages 38710 Mens  ,44.8190545,5.7574298,,,http://hoteleuropa.fr/,,Isère,,,,
,ISM Corum,Solidarités,32 Cours Lafayette 69003 Lyon  ,45.7634631,4.845579799999999,,,http://www.ismcorum.org/,,National,,,,
,La Cinquième Saison /ACCR / La navette,Equipements culturels,Les Gorges 38680 Pont-en-Royans  ,45.0572677,5.343692600000001,,,http://lacinquiemesaison-accr.org/,,Isère,,,,
,La Ligue de l’Enseignement 38,Solidarités,33 Rue Joseph Chanrion 38000 Grenoble  ,45.18994319999999,5.7366546,,,http://www.laligue38.org/,,Isère,,,,
,La Maison des Passages,Equipements culturels,44 Rue SAint Georges 69005 Lyon  ,45.75793160000001,4.825008899999999,,,,,Rhône,,,,
,La Tannerie,Equipements culturels,123 Place de la Vinaigrerie 01000 Bourg-en-Bresse  ,46.1992635,5.2254263,,,https://www.la-tannerie.com/,,Ain,,,,
,Le Babet,Equipements culturels,10 Rue Félix Pyat 42000 SAint-Étienne  ,45.43522970000001,4.381635699999999,,,https://www.le-babet.fr/,,Loire,,,,
,Le GrAin de la Voix,Artistes,3 Rue Denfert Rochereau 34200 Sète  ,43.4104389,3.6991853,,,,,Vercors,,,,
,Le grand Séchoir,Equipements culturels,705 Route de Grenoble 38470 Vinay  ,45.214887,5.417758,,,http://www.legrandsechoir.fr/,,Vercors,,,,
,Le Musée de la résistance et de la déportation en Ardèche,Patrimoine & Mémoire,15 Rue du Travail 07400 Le Teil  ,44.54444050000001,4.6793509,,,http://www.Ardèche-resistance-deportation.fr/,,Ardèche,,,,
,Le Rize,Patrimoine & Mémoire,23 Rue Valentin Haüy 69100 Villeurbanne  ,45.7598334,4.8837963,,,http://lerize.villeurbanne.fr/,,Rhône,,,,
,Le Teil,Collectivités Territoriales,Rue de l'Hotel de Ville 07400 Le Teil  ,44.5504369,4.683533,,,https://www.mairie-le-teil.fr/,,Ardèche,,,,
,Les Modernes,Equipements culturels,6 Rue Lakanal 38000 Grenoble  ,45.1867111,5.723572,,,https://www.lesmodernes.com/,,Isère,,,,
,Les Moyens du Bord,Solidarités,12 Rue d'Arcole 42000 SAint-Étienne  ,45.44049649999999,4.38441,,,lmdb42.wordpress.com,,Loire,,,,
,Les Subs,Equipements culturels,8 bis Quai SAint Vincent 69001 Lyon  ,45.768254,4.8160662,,,https://www.les-subs.com/,,Rhône,,,,
,Lune et l'Autre,Equipements culturels,19 Rue Pierre Bérard 42000 SAint-Étienne  ,45.4380805,4.3912074,,,,,Loire,,,,
,Maison de l'Image,Equipements culturels,Galerie de l'Arlequin 38100 Grenoble  ,45.1639557,5.7327035,,,https://www.maison-image.fr/,,Isère,,,,
,Maison de l'Image /Grand Ecran/ Les Rencontres des Cinémas d’Europe / Toiles de Doc,Equipements culturels,9 Boulevard de Provence 07200 Aubenas  ,44.617337,4.3840084,,,http://www.maisonimage.eu/,,Ardèche,,,,
,Maison des Solidarités Nelson Mandela,Solidarités,25 Rue Charles Gounod 26000 Valence  ,44.9285868,4.925663,,,https://solidarites-mandela.pagesperso-orange.fr/accueil.html,,Drome,,,,
,Médiathèque de Jaude,Equipements culturels,9 Place Louis Aragon 63000 Clermont-Ferrand  ,45.7746413,3.0840718,,,https://www.bibliotheques-clermontmetropole.eu/page/mediatheque-de-jaude-clermont-ferrand-centre,,Auvergne,,,,
,Mediatheque intercommunale du pays de Vans en cevennes,Equipements culturels,Route de Païolive 07140 Les Vans  ,44.4066052,4.1406642,,,https://cdc-vansencevennes.reseaubibli.fr/index.php lvl=cmspage&pageid=6&id_rubrique=24,,Ardèche,,,,
,Médiathèque la motte de galaure,Equipements culturels,75 Rue des Ecoles 26240 La Motte-de-Galaure  ,45.1974118,4.906339700000001,,,,,Drome,,,,
,Médiathèque le Dôme,Equipements culturels,Pl de l'Europe 73200 Albertville  ,45.6761834,6.392432299999999,,,,,Savoie,,,,
,Mediatheque municipale de l'Abresle,Equipements culturels,Place de la Republique 69210 L'Arbresle  ,45.8362912,4.615895,,,http://www.mediatheque-2l.fr/index,,Rhône,,,,
,Médiathèque municipale Jacques Dupin,Equipements culturels,3 Rue Elie Reynier 07000 Privas  ,44.7359289,4.5983597,,,http://www.bm-privas.fr/search.php action=Accueil,,Ardèche,,,,
,Mediatheque municipale L'@ancre,Equipements culturels,2 Impasse du Pressoir 69420 Condrieu  ,45.4632985,4.7693942,,,http://biblio.vienne-condrieu-agglomeration.fr/ fbclid=IwAR37xervTnze0WvlrzBplt5a-BLsQ-GzHcQRCQ97-fTuS62AOPkNWlpS_f8,,,,,,
,MJC Ambérieu-en-Bugey,Equipements culturels,Place Jules Ferry 01500 Ambérieu-en-Bugey  ,45.959517,5.357003,,,http://mjc-amberieu.org/,,Ain,,,,
,MJC Bourg en Bresse,Equipements culturels,Allee des Brotteaux 01000 Bourg-en-Bresse  ,46.2087226,5.2311179,,,https://www.mjc-bourg.fr/,,Ain,,,,
,MJC Jean Macé,Equipements culturels,38 Rue Camille Roy 69007 Lyon  ,45.7451126,4.8478314,,,http://www.mjcjeanmace.com/ fbclid=IwAR1eSY2infM7gJZIk_KD8Pzp9a8ACL4xdsfgRjB-qgtAhFRCuIHG9kmZLhk,,Rhône,,,,
,MJC Prémol,Equipements culturels,7 Rue Henry Duhamel 38100 Grenoble  ,45.1633848,5.7273782,,,http://mjctheatrepremol.fr/,,Isère,,,,
,MJC Villeurbanne,Equipements culturels,46 Cours Docteur Jean Damidot 69100 Villeurbanne  ,45.7616918,4.8859618,,,https://www.mjc-villeurbanne.org/,,Rhône,,,,
,Modus Operandi,Médias,46 Rue d'Alembert 38000 Grenoble  ,45.1874236,5.7109483,,,https://www.modop.org/,,Isère,,,,
,Musée Dauphinois,Patrimoine & Mémoire,Place SAint André 38000 Grenoble  ,45.1931456,5.7283982,,,http://www.musee-dauphinois.fr/,,Isère,,,,
,Musée de la Résistance,Patrimoine & Mémoire,64 Avenue de l'Union Sovietique 63000 Clermont-Ferrand  ,45.7808104,3.1037855,,,,,Auvergne,,,,
,Musée Gadagne,Patrimoine & Mémoire,Place du Petit Collège 69005 Lyon  ,45.7637437,4.8276422,,,http://www.gadagne.musees.lyon.fr/,,Rhône,,,,
,Musée Savoisien,Patrimoine & Mémoire,Pl de l'Hotel de Ville 73000 Chambéry  ,45.5665602,5.920329799999999,,,http://www.musee-savoisien.fr/,,Haute-Savoie,,,,
,Nouveau théâtre SAinte-Marie-d’en-Bas,Equipements culturels,15 Allée du Jardin Hoche 38000 Grenoble  ,45.1838515,5.7291997,,,https://nouveautheatregestionreseau.jimdo.com/,,Isère,,,,
,ODTI,Champ culturel,7 Place Edmond Arnaud 38000 Grenoble  ,45.1927292,5.7341012,,,https://www.odti.org/,,Isère,,,,
,Olivier des Sages,Solidarité,8 Rue de l'Epée 69003 Lyon  ,45.7566561,4.843433399999999,,,http://www.olivierdessages.com/,,Rhône,,,,
,PAEJ (Point Accueil Ecoute Jeunes) Chocolat Chaud,Solidarités,526 Rue Paul VerlAine 01960 Péronnas  ,46.1848994,5.2267407,,,https://sauvegarde01.fr/chocolat%20chaud.html,,Ain,,,,
,Plumes de Brigands,Education,41 Rue Jean Moulin 38470 Vinay  ,45.21135899999999,5.3999947,,,http://www.plumesdebrigands.fr/,,Vercors,,,,
,Radio Dio,Médias,20 Rue Henri Dunant 42100 SAint-Étienne  ,45.4277583,4.4085729,,,http://radiodio.axperia.net/,,Loire,,,,
,Radio OndAine,Médias,1 Immeuble le Corbusier 42700 Firminy  ,45.3823863,4.2892706,,,https://www.radio-ondAine.fr/,,Loire,,,,
,Radio Salam,Médias,8 Rue Prevote 01000 Bourg-en-Bresse  ,46.2050887,5.228168800000001,,,https://radiosalam.com/,,Ain,,,,
